A Choudhary,4
A Dananjaya,3
A Mishra,4
A Nehra,4
A Zampa,3
AB de Villiers,1
AB Dinda,4
Abhishek Sharma,4
AD Hales,2
AD Mathews,4
AD Nath,3
AD Russell,0
AF Milne,3
AJ Finch,5
AJ Tye,4
AM Rahane,1
Ankit Sharma,4
Ankit Soni,3
Anureet Singh,4
AP Tare,3
AR Bawne,4
AR Patel,0
AS Rajpoot,3
AT Rayudu,1
Avesh Khan,3
B Kumar,4
B Laughlin,3
B Stanlake,4
BA Stokes,0
Basil Thampi,4
BB McCullum,5
BB Sran,3
BCJ Cutting,2
Bipul Sharma,4
C de Grandhomme,2
C Munro,4
CA Lynn,5
CH Gayle,5
CH Morris,0
CJ Anderson,2
CJ Dala,3
CJ Jordan,3
CR Brathwaite,2
CR Woakes,4
D Wiese,4
DA Miller,0
DA Warner,1
DJ Bravo,2
DJ Hooda,0
DJ Willey,3
DJM Short,2
DL Chahar,4
DM Bravo,4
DR Shorey,4
DR Smith,0
DS Kulkarni,4
DT Christian,4
DW Steyn,3
E Lewis,0
EJG Morgan,2
ER Dwivedi,4
F Behardien,4
F du Plessis,0
G Gambhir,1
GB Hogg,3
GJ Bailey,4
GJ Maxwell,5
Gurkeerat Singh,2
H Klaasen,4
Harbhajan Singh,2
HH Pandya,0
HM Amla,0
HV Patel,4
I Sharma,3
IK Pathan,3
Imran Tahir,3
Iqbal Abdulla,4
IR Jaggi,4
IS Sodhi,3
Ishan Kishan,5
J Suchith,3
J Yadav,3
JA Morkel,4
JC Archer,3
JC Buttler,1
JD Unadkat,4
JJ Bumrah,4
JJ Roy,2
JO Holder,4
JP Duminy,2
JP Faulkner,2
JPR Scantlebury-Searles,4
JW Hastings,3
K Gowtham,2
K Khejroliya,3
K Rabada,4
KA Pollard,5
KC Cariappa,4
KD Karthik,1
KH Pandya,5
KJ Abbott,4
KK Ahmed,3
KK Nair,5
KL Rahul,1
KM Asif,3
KM Jadhav,0
KP Pietersen,4
KS Williamson,1
Kuldeep Yadav,3
KV Sharma,4
KW Richardson,4
L Ngidi,3
LE Plunkett,3
LH Ferguson,4
LMP Simmons,2
M Ashwin,3
M Markande,4
M Morkel,4
M Prasidh Krishna,3
M Vijay,0
M Vohra,0
MA Agarwal,2
MA Wood,3
Mandeep Singh,0
MC Henriques,0
MG Johnson,4
MJ Guptill,2
MJ Henry,3
MJ McClenaghan,4
MK Lomror,4
MK Pandey,5
MK Tiwary,0
MM Ali,4
MM Patel,3
MM Sharma,4
MN Samuels,4
Mohammad Nabi,4
Mohammed Shami,4
Mohammed Siraj,4
MP Stoinis,2
MR Marsh,3
MS Dhoni,1
MS Gony,3
Mujeeb Ur Rahman,4
Mustafizur Rahman,3
N Rana,5
NB Singh,3
NLTC Perera,2
NM Coulter-Nile,4
NS Naik,3
NV Ojha,2
P Chopra,4
P Kumar,4
P Negi,2
P Sahu,4
PA Patel,5
Parvez Rasool,4
PJ Cummins,4
PJ Sangwan,3
PP Chawla,4
PP Shaw,2
PSP Handscomb,3
PV Tambe,3
Q de Kock,5
R Ashwin,2
R Bhatia,4
R Dhawan,4
R Sathish,4
R Tewatia,4
R Vinay Kumar,4
RA Jadeja,0
RA Tripathi,5
Rashid Khan,4
RD Chahar,4
RG Sharma,1
RK Bhui,3
RK Singh,4
RP Singh,3
RR Pant,1
RV Uthappa,1
S Aravind,4
S Badree,3
S Dhawan,1
S Gopal,4
S Kaul,3
S Kaushik,3
S Ladda,3
S Lamichhane,3
S Nadeem,3
SA Yadav,5
Sachin Baby,2
Sandeep Sharma,3
SB Jakati,3
SE Marsh,0
Shakib Al Hasan,0
Shivam Mavi,4
Shubman Gill,2
SK Raina,1
SL Malinga,4
SM Boland,3
SN Khan,2
SN Thakur,4
SP Goswami,4
SP Jackson,4
SP Narine,5
SPD Smith,5
SR Watson,5
SS Agarwal,3
SS Iyer,5
SS Tiwary,2
STR Binny,2
SV Samson,1
SW Billings,0
Swapnil Singh,3
T Natarajan,3
T Shamsi,3
TA Boult,3
Tejas Baroka,3
TG Southee,4
TK Curran,4
TM Head,2
TS Mills,3
UBT Chand,3
UT Khawaja,2
UT Yadav,3
V Kohli,1
V Shankar,0
Vishnu Vinod,3
VR Aaron,3
Washington Sundar,4
WP Saha,5
YK Pathan,5
YS Chahal,3
Yuvraj Singh,0
Z Khan,3
