,Player,Runs,Wickets,Overs,Balls,Average,SR,Economy
0,A Choudhary,144,5,16.833333333333332,101,28.8,20.2,8.554455445544555
1,A Dananjaya,47,0,4.0,24,0.0,0.0,11.75
2,A Mishra,951,35,121.83333333333334,731,27.17142857142857,20.88571428571429,7.805745554035567
3,A Nehra,396,17,47.16666666666667,283,23.294117647058826,16.647058823529413,8.395759717314487
4,A Zampa,278,19,36.83333333333333,221,14.63157894736842,11.63157894736842,7.547511312217195
5,AB de Villiers,0,0,0.0,357,0.0,0.0,0.0
6,AB Dinda,350,12,40.5,243,29.16666666666667,20.25,8.641975308641975
7,Abhishek Sharma,0,0,0.0,183,0.0,0.0,0.0
8,AD Hales,0,0,0.0,183,0.0,0.0,0.0
9,AD Mathews,56,0,5.0,30,0.0,0.0,11.2
10,AD Nath,0,0,0.0,90,0.0,0.0,0.0
11,AD Russell,646,28,74.33333333333334,446,23.07142857142857,15.928571428571427,8.690582959641254
12,AF Milne,177,4,18.0,108,44.25,27.0,9.833333333333334
13,AJ Finch,0,0,0.0,72,0.0,0.0,0.0
14,AJ Tye,589,36,77.0,462,16.36111111111111,12.833333333333336,7.649350649350651
15,AM Rahane,0,0,0.0,1008,0.0,0.0,0.0
16,Ankit Sharma,111,1,13.0,78,111.0,78.0,8.538461538461537
17,Ankit Soni,144,2,18.166666666666668,109,72.0,54.5,7.9266055045871555
18,Anureet Singh,111,1,12.0,72,111.0,72.0,9.25
19,AP Tare,0,0,0.0,72,0.0,0.0,0.0
20,AR Bawne,0,0,0.0,36,0.0,0.0,0.0
21,AR Patel,968,31,121.83333333333334,731,31.225806451612907,23.580645161290327,7.945280437756496
22,AS Rajpoot,428,18,51.16666666666667,307,23.777777777777782,17.055555555555557,8.364820846905536
23,AT Rayudu,0,0,0.0,471,0.0,0.0,0.0
24,Avesh Khan,227,5,23.0,138,45.4,27.6,9.869565217391305
25,B Kumar,1213,58,164.5,987,20.91379310344828,17.017241379310345,7.37386018237082
26,B Laughlin,211,9,20.83333333333333,125,23.444444444444446,13.888888888888891,10.128
27,B Stanlake,200,7,24.0,144,28.57142857142857,20.571428571428573,8.333333333333334
28,BA Stokes,619,20,81.0,486,30.95,24.3,7.641975308641975
29,Basil Thampi,538,16,54.83333333333333,329,33.625,20.5625,9.811550151975684
30,BB McCullum,0,0,0.0,804,0.0,0.0,0.0
31,BB Sran,671,18,73.5,441,37.27777777777778,24.5,9.129251700680273
32,BCJ Cutting,371,8,40.83333333333333,245,46.375,30.625,9.085714285714287
33,Bipul Sharma,250,6,30.33333333333333,182,41.66666666666666,30.33333333333333,8.241758241758241
