batman,bowler,0,1,2,3,4,6,notout,balls
PA Patel,Washington Sundar,0.3214285714,0.7857142857,0.8571428571,0.8571428571,0.9642857143,1,0.9642857143,28
DA Warner,SP Narine,0.24,0.6,0.68,0.72,0.92,1,1,25
DA Warner,Kuldeep Yadav,0.36,0.72,0.8,0.8,0.92,1,0.96,25
S Dhawan,UT Yadav,0.5,0.875,0.875,0.875,1,1,0.9583333333,24
DA Warner,Washington Sundar,0.5,0.8333333333,0.875,0.875,1,1,1,24
AM Rahane,KV Sharma,0.375,0.75,0.875,0.875,1,1,0.9166666667,24
SK Raina,Kuldeep Yadav,0.1739130435,0.8260869565,0.8695652174,0.8695652174,0.9565217391,1,0.9565217391,23
AB de Villiers,KH Pandya,0.4347826087,0.8695652174,0.8695652174,0.8695652174,0.9130434783,1,0.9130434783,23
DA Warner,UT Yadav,0.4347826087,0.7391304348,0.8260869565,0.8695652174,0.9130434783,1,1,23
MK Tiwary,JJ Bumrah,0.347826087,0.8260869565,0.8695652174,0.8695652174,1,1,0.9565217391,23
SPD Smith,JJ Bumrah,0.1818181818,0.7727272727,0.9090909091,0.9090909091,0.9545454545,1,1,22
AM Rahane,KH Pandya,0.2727272727,0.8181818182,0.8181818182,0.8181818182,0.9545454545,1,1,22
S Dhawan,MJ McClenaghan,0.3181818182,0.7272727273,0.8636363636,0.8636363636,0.9545454545,1,0.9545454545,22
KA Pollard,A Mishra,0.5454545455,0.7727272727,0.7727272727,0.7727272727,0.8181818182,1,1,22
SPD Smith,KV Sharma,0.4545454545,0.8181818182,0.9090909091,0.9090909091,1,1,1,22
PA Patel,SN Thakur,0.4090909091,0.6818181818,0.8181818182,0.8181818182,1,1,0.9090909091,22
RG Sharma,Imran Tahir,0.5238095238,0.7619047619,0.8095238095,0.8095238095,0.9523809524,1,0.9523809524,21
SPD Smith,Bipul Sharma,0.2380952381,0.7619047619,0.8571428571,0.8571428571,0.9047619048,1,1,21
AM Rahane,MJ McClenaghan,0.35,0.6,0.7,0.7,0.95,1,1,20
MS Dhoni,JJ Bumrah,0.4,0.8,0.85,0.85,0.9,1,0.85,20
SK Raina,CR Woakes,0.2,0.55,0.65,0.65,0.95,1,1,20
SV Samson,UT Yadav,0.3,0.6,0.7,0.7,0.9,1,0.9,20
MS Dhoni,B Kumar,0.25,0.5,0.7,0.7,0.85,1,1,20
AM Rahane,SL Malinga,0.55,0.9,0.9,0.9,1,1,1,20
RR Pant,SR Watson,0.2631578947,0.8421052632,0.8947368421,0.8947368421,0.9473684211,1,1,19
MC Henriques,S Kaushik,0.3684210526,0.7368421053,0.8421052632,0.8421052632,1,1,1,19
M Vohra,UT Yadav,0.5263157895,0.6842105263,0.8421052632,0.8421052632,0.9473684211,1,0.9473684211,19
RV Uthappa,Rashid Khan,0.2105263158,0.6842105263,0.6842105263,0.6842105263,0.8421052632,1,1,19
CJ Anderson,GJ Maxwell,0.6315789474,0.8947368421,1,1,1,1,1,19
DA Warner,I Sharma,0.5789473684,0.8947368421,0.9473684211,0.9473684211,1,1,1,19
KA Pollard,PJ Cummins,0.4736842105,0.7368421053,0.8421052632,0.8421052632,1,1,0.9473684211,19
SPD Smith,Rashid Khan,0.3157894737,0.9473684211,1,1,1,1,0.9473684211,19
RA Tripathi,SP Narine,0.3684210526,0.7368421053,0.7368421053,0.7368421053,1,1,1,19
KS Williamson,NM Coulter-Nile,0.3684210526,0.6315789474,0.8421052632,0.8421052632,0.9473684211,1,0.9473684211,19
MK Pandey,KH Pandya,0.1666666667,0.7777777778,0.9444444444,0.9444444444,1,1,1,18
S Dhawan,Harbhajan Singh,0.3888888889,0.8888888889,0.8888888889,0.8888888889,1,1,1,18
G Gambhir,AR Patel,0.2777777778,0.8888888889,0.9444444444,0.9444444444,1,1,1,18
RV Uthappa,MC Henriques,0.1666666667,0.7222222222,0.7777777778,0.7777777778,0.7777777778,1,1,18
S Dhawan,CH Morris,0.5,0.6666666667,0.6666666667,0.6666666667,0.9444444444,1,0.9444444444,18
HM Amla,SL Malinga,0.2222222222,0.5,0.5,0.5,0.7222222222,1,1,18
HM Amla,Basil Thampi,0.1111111111,0.6111111111,0.6111111111,0.6111111111,0.8888888889,1,0.9444444444,18
G Gambhir,Washington Sundar,0.5,0.6111111111,0.7777777778,0.7777777778,0.9444444444,1,0.8888888889,18
RG Sharma,SP Narine,0.5882352941,0.8823529412,0.9411764706,0.9411764706,1,1,0.9411764706,17
