batsman,bowler,0,1,2,3,4,6,out,batclustno,bowlclustno,balls
DA Warner,TS Mills,0.8,0.0,0.0,0.0,0.2,0.0,0.0,1,0,5
S Dhawan,TS Mills,0.5,0.5,0.0,0.0,0.0,0.0,0.0,4,0,4
S Dhawan,A Choudhary,0.4,0.6,0.0,0.0,0.0,0.0,0.0,4,0,5
DA Warner,A Choudhary,0.5,0.0,0.0,0.0,0.25,0.25,0.25,1,0,4
MC Henriques,A Choudhary,0.25,0.5,0.0,0.0,0.25,0.0,0.0,0,0,4
MC Henriques,TS Mills,0.5,0.25,0.0,0.25,0.0,0.0,0.0,0,0,4
MC Henriques,YS Chahal,0.36363636363636365,0.45454545454545453,0.18181818181818182,0.0,0.0,0.0,0.09090909090909091,0,1,11
S Dhawan,YS Chahal,0.1111111111111111,0.7777777777777778,0.1111111111111111,0.0,0.0,0.0,0.0,4,1,9
S Dhawan,S Aravind,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,3,2
MC Henriques,S Aravind,0.1,0.5,0.1,0.0,0.2,0.1,0.0,0,3,10
S Dhawan,SR Watson,0.16666666666666666,0.16666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,4,1,6
S Dhawan,TM Head,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,0,3
MC Henriques,TM Head,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,3
MC Henriques,STR Binny,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,2,2
S Dhawan,STR Binny,0.5,0.0,0.0,0.0,0.5,0.0,0.5,4,2,2
Yuvraj Singh,STR Binny,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,2,2
Yuvraj Singh,S Aravind,0.16666666666666666,0.5,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,4,3,6
Yuvraj Singh,A Choudhary,0.36363636363636365,0.18181818181818182,0.09090909090909091,0.0,0.2727272727272727,0.09090909090909091,0.0,4,0,11
Yuvraj Singh,SR Watson,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,4,1,3
MC Henriques,SR Watson,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0,1,3
Yuvraj Singh,YS Chahal,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,1,2
DJ Hooda,YS Chahal,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,2
DJ Hooda,TS Mills,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0,0,5
Yuvraj Singh,TS Mills,0.3333333333333333,0.16666666666666666,0.0,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,4,0,6
DJ Hooda,A Choudhary,0.0,0.5,0.25,0.0,0.0,0.25,0.0,0,0,4
BCJ Cutting,TS Mills,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,0,1
BCJ Cutting,SR Watson,0.2,0.2,0.2,0.0,0.0,0.4,0.0,2,1,5
DJ Hooda,SR Watson,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,1
CH Gayle,A Nehra,0.2,0.4,0.0,0.0,0.2,0.2,0.0,5,3,5
Mandeep Singh,A Nehra,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.42857142857142855,0.0,0.0,4,3,7
CH Gayle,B Kumar,0.5,0.25,0.125,0.0,0.0,0.125,0.0,5,0,8
Mandeep Singh,B Kumar,0.6,0.2,0.0,0.0,0.2,0.0,0.0,4,0,5
CH Gayle,BCJ Cutting,0.8571428571428571,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,5,3,7
Mandeep Singh,Rashid Khan,0.75,0.0,0.0,0.0,0.25,0.0,0.25,4,5,4
TM Head,Rashid Khan,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.0,0.2222222222222222,0.0,0.1111111111111111,2,5,9
CH Gayle,DJ Hooda,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,5,0,3
TM Head,DJ Hooda,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2,0,2
KM Jadhav,DJ Hooda,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
KM Jadhav,Rashid Khan,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0,5,2
TM Head,BCJ Cutting,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,3,2
KM Jadhav,BCJ Cutting,0.4,0.4,0.0,0.0,0.0,0.2,0.0,0,3,5
KM Jadhav,MC Henriques,0.0,0.8,0.0,0.0,0.2,0.0,0.2,0,4,5
TM Head,MC Henriques,0.14285714285714285,0.5714285714285714,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,2,4,7
TM Head,A Nehra,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,3,2
KM Jadhav,A Nehra,0.2,0.4,0.0,0.0,0.4,0.0,0.0,0,3,5
SR Watson,MC Henriques,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5,4,1
