batid,bowlid,batsman,bowler,0,1,2,3,4,6,out,batclustno,bowlclustno,balls
198,141,DA Warner,TS Mills,0.8,0.0,0.0,0.0,0.2,0.0,0.0,1,0,5,
208,141,S Dhawan,TS Mills,0.5,0.5,0.0,0.0,0.0,0.0,0.0,4,0,4,
208,99,S Dhawan,A Choudhary,0.4,0.6,0.0,0.0,0.0,0.0,0.0,4,0,5,
198,99,DA Warner,A Choudhary,0.5,0.0,0.0,0.0,0.25,0.25,0.25,1,0,4,
227,99,MC Henriques,A Choudhary,0.25,0.5,0.0,0.0,0.25,0.0,0.0,0,0,4,
227,141,MC Henriques,TS Mills,0.5,0.25,0.0,0.25,0.0,0.0,0.0,0,0,4,
227,158,MC Henriques,YS Chahal,0.3636363636363637,0.4545454545454545,0.18181818181818185,0.0,0.0,0.0,0.09090909090909093,0,1,11,
208,158,S Dhawan,YS Chahal,0.1111111111111111,0.7777777777777778,0.1111111111111111,0.0,0.0,0.0,0.0,4,1,9,
208,175,S Dhawan,S Aravind,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,3,2,
227,175,MC Henriques,S Aravind,0.1,0.5,0.1,0.0,0.2,0.1,0.0,0,3,10,
208,156,S Dhawan,SR Watson,0.16666666666666666,0.16666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,4,1,6,
208,140,S Dhawan,TM Head,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,0,3,
227,140,MC Henriques,TM Head,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,3,
227,210,MC Henriques,STR Binny,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,2,2,
208,210,S Dhawan,STR Binny,0.5,0.0,0.0,0.0,0.5,0.0,0.5,4,2,2,
234,210,Yuvraj Singh,STR Binny,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,2,2,
234,175,Yuvraj Singh,S Aravind,0.16666666666666666,0.5,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,4,3,6,
